Date ,ph_usd_forex
2020-01-02,50.684
2020-01-03,51.077
2020-01-06,50.945
2020-01-07,50.76
2020-01-08,50.75
2020-01-09,50.66
2020-01-10,50.735
2020-01-14,50.585
2020-01-15,50.745
2020-01-16,50.685
2020-01-17,50.901
2020-01-20,50.97
2020-01-21,51.01
2020-01-22,50.905
2020-01-23,50.98
2020-01-24,50.81
2020-01-27,50.835
2020-01-28,50.757
2020-01-29,50.84
2020-01-30,50.985
2020-01-31,50.83
2020-02-03,50.8
2020-02-04,50.77
2020-02-05,50.91
2020-02-06,50.77
2020-02-07,50.758
2020-02-10,50.78
2020-02-11,50.7
2020-02-12,50.57
2020-02-13,50.51
2020-02-14,50.57
2020-02-17,50.565
2020-02-18,50.65
2020-02-19,50.553
2020-02-20,50.59
2020-02-21,50.95
2020-02-24,50.963
2020-02-26,51.042
2020-02-27,50.816
2020-02-28,50.904
2020-03-02,50.64
2020-03-03,50.7
2020-03-04,50.557
2020-03-05,50.593
2020-03-06,50.644
2020-03-09,50.585
2020-03-10,50.51
2020-03-11,50.542
2020-03-12,50.85
2020-03-13,51.018
2020-03-16,51.49
2020-03-18,51.13
2020-03-19,51.1
2020-03-20,50.88
2020-03-23,51.315
2020-03-24,50.943
2020-03-25,51.185
2020-03-26,51.117
2020-03-27,51.025
2020-03-30,50.935
2020-03-31,50.699
2020-04-01,50.91
2020-04-02,50.86
2020-04-03,50.728
2020-04-06,50.737
2020-04-07,50.688
2020-04-08,50.603
2020-04-13,50.617
2020-04-14,50.634
2020-04-15,50.61
2020-04-16,50.781
2020-04-17,50.908
,
,
,
,
,
