date,psei_value,psei_10d_vol,psei_30d_vol,cds,vix,ph_usd_forex
2020-01-01,,,,33.541,,
2020-01-02,7742.527,19.02,15.39,32.978,12.47,50.684
2020-01-03,7839.789,15.68,15.79,34.826,14.02,51.077
2020-01-06,7797.867,16.11,15.81,36.795,13.85,50.945
2020-01-07,7840.699,16.28,15.9,35.503,13.79,50.76
2020-01-08,7736.238,17.07,16.12,35.761,13.45,50.75
2020-01-09,7797.637,15.42,16.31,34.325,12.54,50.66
2020-01-10,7776.77,13.51,16.2,34.262,12.56,50.735
2020-01-13,7776.77,,,33.975,12.32,
2020-01-14,7793.25,13.53,16,34.166,12.39,50.585
2020-01-15,7664.398,16.04,15.97,34.194,12.42,50.745
2020-01-16,7653.18,15.44,15.78,32.971,12.32,50.685
2020-01-17,7722.578,14.53,16,32.968,12.1,50.901
2020-01-20,7552.598,18.27,16.35,33.003,,50.97
2020-01-21,7466.648,17.81,16.62,35.532,12.85,51.01
2020-01-22,7468.727,17.33,16.6,36.151,12.91,50.905
2020-01-23,7616.348,20.72,17.75,37.645,12.98,50.98
2020-01-24,7623.406,20.81,17.74,38.865,14.56,50.81
2020-01-27,7587.629,20.67,17.77,37.62,18.23,50.835
2020-01-28,7468.699,20.49,18.28,41.228,16.28,50.757
2020-01-29,7462.309,20.5,18.12,39.667,16.39,50.84
2020-01-30,7392.68,19.41,18.23,41.836,15.49,50.985
2020-01-31,7200.789,20.67,18.69,41.524,18.84,50.83
2020-02-03,7137.027,20.46,17.79,40.52,17.97,50.8
2020-02-04,7226.898,22.45,18.27,37.351,16.05,50.77
2020-02-05,7352.848,21.7,19.18,34.703,15.15,50.91
2020-02-06,7506.508,25.42,20.11,34.968,14.96,50.77
2020-02-07,7507.199,25.36,19.49,36.756,15.47,50.758
2020-02-10,7430.859,24.48,19.17,36.755,15.04,50.78
2020-02-11,7439.398,24.5,19.19,35.854,15.18,50.7
2020-02-12,7383.102,24.3,19.26,34.467,13.74,50.57
2020-02-13,7403.121,18.45,19.17,34.723,14.15,50.51
2020-02-14,7282,20.4,19.16,34.487,13.68,50.57
2020-02-17,7326.852,19.63,19.31,34.532,,50.565
2020-02-18,7322.891,17.17,19.18,35,14.83,50.65
2020-02-19,7396.941,13.47,19.21,34.223,14.38,50.553
2020-02-20,7413,13.6,19.02,34.383,15.56,50.59
2020-02-21,7369.781,12.86,19.06,35.32,17.08,50.95
2020-02-24,7187.441,18.13,20.23,40.007,25.03,50.963
2020-02-25,,,,39.318,27.85,
2020-02-26,6909.84,26.43,22.68,41.29,27.56,51.042
2020-02-27,6967.84,27.29,22.95,44.232,39.16,50.816
2020-02-28,6787.91,28.86,23.61,54.88,40.11,50.904
2020-03-02,6749.281,27.68,22.97,53.554,33.42,50.64
2020-03-03,6790.539,28.56,23.03,48.348,36.82,50.7
2020-03-04,6867.262,28.82,23.42,50.624,31.99,50.557
2020-03-05,6884.77,28.86,22.43,50.536,39.62,50.593
2020-03-06,6770.379,29.16,22.73,59.608,41.94,50.644
2020-03-09,6312.609,43.49,30.11,95.481,54.46,50.585
2020-03-10,6318.379,41.31,30.04,76.572,47.3,50.51
2020-03-11,6353.262,40.92,30.2,87.086,53.9,50.542
2020-03-12,5736.27,64.25,41.83,133.256,75.47,50.85
2020-03-13,5793.941,65.82,41.83,113.091,57.83,51.018
2020-03-16,5335.371,72.6,47.47,125.405,82.69,51.49
2020-03-17,5335.371,,,130.978,75.91,
2020-03-18,,,,141.771,76.45,51.13
2020-03-19,4623.422,91.35,61.45,154.19,72,51.1
2020-03-20,4778.762,97.65,62.4,145.336,66.04,50.88
2020-03-23,4743.371,98.51,61.48,170.975,61.59,51.315
2020-03-24,4774.27,99.4,61.66,129.162,61.67,50.943
2020-03-25,5027.762,108.08,64.87,103.708,63.95,51.185
2020-03-26,5401.578,119.49,69.61,101.84,61,51.117
2020-03-27,5266.621,108.54,69.73,98.203,65.54,51.025
2020-03-30,5131.16,108.17,69.72,115.429,57.08,50.935
2020-03-31,5321.23,102.24,71.23,104.411,53.54,50.699
2020-04-01,5408.52,54.63,71.51,113.87,57.06,50.91
2020-04-02,5342.309,55.84,71.45,113.946,50.91,50.86
2020-04-03,5346.969,55.06,71.25,120.191,46.8,50.728
2020-04-06,5570.809,56.77,72.86,106.337,45.24,50.737
2020-04-07,5650.012,52.78,73.2,99.684,46.7,50.688
2020-04-08,5510.828,42.35,73.2,99.578,43.35,50.603
2020-04-09,,,,89.007,41.67,
2020-04-10,,,,96.056,,
2020-04-13,5610.98,39.5,73.02,83.238,41.17,50.617
2020-04-14,5780.879,35.5,73.72,78.412,37.76,50.634
2020-04-15,5946.051,34.01,74.17,85.034,40.84,50.61
2020-04-16,5525.602,56.98,76.97,85.664,40.11,50.781
2020-04-17,5789.969,60.75,78.56,82.847,38.15,50.908
